gen,elapsed_sec,evals_total,best_fitness,mean_fitness
0,0.0007750988006591797,200,-60.46982322596662,-166.17531782142206
1,0.004286289215087891,400,-59.47329250514013,-137.2444732451646
2,0.006047964096069336,600,-58.117740137585606,-112.62142701339573
3,0.0078582763671875,800,-55.53407828378155,-90.34265862067721
4,0.009742021560668945,1000,-54.191543281297754,-69.66012738799887
5,0.011646270751953125,1200,-51.94238768320633,-59.65636718706888
6,0.013508081436157227,1400,-48.1985927827522,-57.14105382407557
7,0.01539301872253418,1600,-43.30196407062495,-55.05960585538207
8,0.01724410057067871,1800,-45.2108032857776,-53.31932987415441
9,0.019149065017700195,2000,-42.80775247828448,-50.920373257991926
10,0.021007061004638672,2200,-40.43597587150122,-47.926860813671226
11,0.022864103317260742,2400,-37.78449494500481,-45.32643538708116
12,0.02471923828125,2600,-36.30868182384355,-43.14289197395363
13,0.026578187942504883,2800,-34.04528941491168,-41.2899910077435
14,0.0284421443939209,3000,-32.44368422038988,-39.41332725326236
15,0.03029918670654297,3200,-29.89124639231612,-37.62515889791073
16,0.032166242599487305,3400,-29.485721604522887,-35.52286533133482
17,0.03402900695800781,3600,-27.193646940436143,-33.52234026775313
18,0.03589224815368652,3800,-24.355696520517498,-32.05341792749719
19,0.03774523735046387,4000,-22.81788539636882,-29.90192448123579
20,0.03960418701171875,4200,-21.997479222381344,-28.361420365181193
21,0.04147505760192871,4400,-20.603877172046772,-26.54783874356589
22,0.04332423210144043,4600,-19.704915641855106,-25.024126524211425
23,0.04517817497253418,4800,-16.2941408068618,-23.581069843856767
24,0.047029972076416016,5000,-16.03234675423825,-22.396475045529215
25,0.04889106750488281,5200,-14.295422027411194,-20.520411306699362
26,0.050733089447021484,5400,-12.325891391481543,-18.73599742457798
27,0.052584171295166016,5600,-11.942919309462088,-17.366130368249753
28,0.0544281005859375,5800,-11.000187253852229,-16.16195639978365
29,0.056272268295288086,6000,-9.869182940851182,-14.90485939322732
30,0.05811715126037598,6200,-7.850967909590988,-13.987205216618017
31,0.05997824668884277,6400,-7.690322127475791,-13.027811541646706
32,0.06183123588562012,6600,-7.568105995277298,-12.059656932632953
33,0.06368422508239746,6800,-7.017172822435177,-10.91257665660215
34,0.0655221939086914,7000,-6.715051179042553,-10.015709002093994
35,0.06736421585083008,7200,-5.902812891531787,-9.374158380576068
36,0.06921219825744629,7400,-5.070415393501121,-8.568101107709994
37,0.0710601806640625,7600,-5.334743256353756,-8.005274522915565
38,0.07290220260620117,7800,-4.323372941231969,-7.3779658652327536
39,0.07475018501281738,8000,-3.997467682219205,-6.8170899727727985
40,0.07660412788391113,8200,-3.509779476048639,-6.0423263301055545
41,0.07844924926757812,8400,-3.4416117582967547,-5.68442581799292
42,0.08029913902282715,8600,-3.0704957004491393,-5.3173740671712775
43,0.0821380615234375,8800,-3.0756771933499465,-4.8251966133918165
44,0.08398318290710449,9000,-2.4470132143431904,-4.501453850096755
45,0.08582615852355957,9200,-2.2862409145805738,-4.226395086148901
46,0.08766722679138184,9400,-1.6710118044050648,-3.935831644865766
47,0.08951926231384277,9600,-1.4489760558321112,-3.6431368476217876
48,0.09136724472045898,9800,-1.2361878979194143,-3.5063541521246537
49,0.09320902824401855,10000,-1.5535207856491968,-3.1280286642092214
50,0.09505510330200195,10200,-1.1022101080463091,-2.9184103198259455
51,0.09689807891845703,10400,-1.1735539849528611,-2.7667938181614784
52,0.09874510765075684,10600,-1.1135413099497353,-2.6214940523443047
53,0.10058808326721191,10800,-0.9580082371229289,-2.5514308376829367
54,0.10243916511535645,11000,-1.043740580119633,-2.369155444381241
55,0.10427618026733398,11200,-0.6464404372758599,-2.208069156130846
56,0.10612225532531738,11400,-0.8746079632970939,-2.1104245652957747
57,0.10796904563903809,11600,-0.9500568717885453,-2.106943445831571
58,0.10981297492980957,11800,-0.775280193714249,-2.0335325357385106
59,0.11165833473205566,12000,-0.7046385164567205,-1.9968804449141526
60,0.11351609230041504,12200,-0.7478539688453157,-2.025352373022534
61,0.11536002159118652,12400,-0.7474321327920717,-2.0099596862998563
62,0.11720418930053711,12600,-0.6263360517822707,-1.9772010967039113
63,0.11905026435852051,12800,-0.8264695936884837,-1.9561085799337314
64,0.12089419364929199,13000,-0.8117047637324815,-1.9812129807286225
65,0.12274813652038574,13200,-0.6352987793436417,-2.028663765215189
66,0.124603271484375,13400,-0.4800349102961392,-2.0463793056927084
67,0.12644410133361816,13600,-0.556745543470507,-2.0691157828133617
68,0.12829017639160156,13800,-0.5651430986837062,-2.015014459050581
69,0.13013601303100586,14000,-0.510554482955902,-1.9510041051907794
70,0.1319882869720459,14200,-0.7554583197666668,-1.879928988629136
71,0.13431119918823242,14400,-0.6471825262758242,-1.8798560122174666
72,0.13651418685913086,14600,-0.5743275184699677,-1.8841704886965556
73,0.13894414901733398,14800,-0.8644475155792726,-1.8609143829362949
74,0.1414492130279541,15000,-0.7226502940787665,-1.8693598501405952
75,0.14319920539855957,15200,-0.7030521702357337,-1.966286952063399
76,0.14493632316589355,15400,-0.8360504867393365,-2.019473885471436
77,0.14666104316711426,15600,-0.5238988726350383,-1.93840318451342
78,0.14838218688964844,15800,-0.5670159742507009,-1.8982020892004092
79,0.15023303031921387,16000,-0.762388935824106,-1.9351163887177134
80,0.15206599235534668,16200,-0.7007176175615135,-1.8943931087925008
81,0.15383028984069824,16400,-0.5484476306855475,-1.867217158689022
82,0.15567421913146973,16600,-0.5907774340356263,-1.8666643360527087
83,0.15753531455993652,16800,-0.5715337561674436,-1.8608963638066256
84,0.1593761444091797,17000,-0.6197521825713916,-1.876988707045249
85,0.16122126579284668,17200,-0.8255027526362081,-1.8334170972363462
86,0.16306304931640625,17400,-0.7390220568645542,-1.8289616385721388
87,0.16489815711975098,17600,-0.7100766472219845,-1.867281028645021
88,0.16673827171325684,17800,-0.6840721626013229,-1.791816707419156
89,0.16857218742370605,18000,-0.7888875525158745,-1.7374217431327699
90,0.17041420936584473,18200,-0.826019653318978,-1.783437872784428
91,0.17225313186645508,18400,-0.8305081978219597,-1.794591985864335
92,0.1740882396697998,18600,-0.6099628395058819,-1.7595729140023648
93,0.17592334747314453,18800,-0.796066720370519,-1.766632061690915
94,0.1777660846710205,19000,-0.5812317274542871,-1.738200626024684
95,0.17960333824157715,19200,-0.5547224916108278,-1.8126020999588563
96,0.18144607543945312,19400,-0.5889609993482519,-1.8737237418916397
97,0.18328499794006348,19600,-0.6789312477050623,-1.787119606403743
98,0.18511724472045898,19800,-0.6283155136488805,-1.8207556952211268
99,0.18695497512817383,20000,-0.6099940198501876,-1.8168218260305673
100,0.18879413604736328,20200,-0.6431179964728713,-1.739520663826247
101,0.19064021110534668,20400,-0.7194716353741395,-1.7688291324713563
102,0.19247937202453613,20600,-0.6716935703244371,-1.8380306521811565
103,0.19431495666503906,20800,-0.6827473091596831,-1.8537709104958566
104,0.19615411758422852,21000,-0.7061666432603484,-1.8693043652774446
105,0.19799232482910156,21200,-0.8913253275164985,-1.8916677025172317
106,0.1998293399810791,21400,-0.7628199184038418,-1.8804626459579543
107,0.20167112350463867,21600,-0.7274006834547442,-1.9149793616291952
108,0.2035062313079834,21800,-0.6472467691717108,-1.9666358061514426
109,0.20534229278564453,22000,-0.4231666536340011,-1.897895058389326
110,0.2071831226348877,22200,-0.6095656786350565,-1.8260432385804746
111,0.20902132987976074,22400,-0.6598828950951983,-1.7788900337835014
112,0.21085429191589355,22600,-0.6312344805268832,-1.7556954957174082
113,0.21268510818481445,22800,-0.7641965040663926,-1.782082063904452
114,0.21452617645263672,23000,-0.6193971665416427,-1.7499413433997475
115,0.216353178024292,23200,-0.736981769125553,-1.8440541657754221
116,0.2181863784790039,23400,-0.4879230906212515,-1.8369939780387738
117,0.22002100944519043,23600,-0.6332684160277883,-1.7126186280369922
118,0.2218611240386963,23800,-0.7934334209891141,-1.6859393694353881
119,0.22370028495788574,24000,-0.5482266740298688,-1.7164067941862342
120,0.22554516792297363,24200,-0.6765115409017778,-1.8078542307080647
121,0.2273871898651123,24400,-0.5264949962436892,-1.8805453766443343
122,0.22922706604003906,24600,-0.47025443389744004,-1.8196127353470424
123,0.2310791015625,24800,-0.45485373449719374,-1.8460179722393435
124,0.23291802406311035,25000,-0.5306395791485871,-1.848259989478568
125,0.23475909233093262,25200,-0.6914295851175822,-1.8707380208680506
126,0.23659420013427734,25400,-0.5949537011077982,-1.861047607738409
127,0.2384331226348877,25600,-0.7038129754044814,-1.7523726914755906
128,0.2402653694152832,25800,-0.6086482703548932,-1.6746338648995687
129,0.24210309982299805,26000,-0.5201699854782093,-1.6679587486734755
130,0.243941068649292,26200,-0.44519079243930637,-1.6409626186054629
131,0.24577927589416504,26400,-0.5604068058213805,-1.6217259177667955
132,0.2476210594177246,26600,-0.6167402812423688,-1.6600701765896497
133,0.2494640350341797,26800,-0.6795382850970255,-1.6756053949998273
134,0.25130414962768555,27000,-0.40970011767500375,-1.6747081086627305
135,0.2531392574310303,27200,-0.533255280182456,-1.7443641610472571
136,0.25498533248901367,27400,-0.5158327897939721,-1.756496300459114
137,0.2568209171295166,27600,-0.6683669898705132,-1.7970711888118975
138,0.25865602493286133,27800,-0.7154594193645578,-1.8582718575862651
139,0.26049208641052246,28000,-0.7020508962799809,-1.9055538733737085
140,0.2623260021209717,28200,-0.4696103904822945,-1.9266578137470816
141,0.2641630172729492,28400,-0.44499289352998117,-1.8550335687487172
142,0.266005277633667,28600,-0.589558314149218,-1.8681239394050693
143,0.26784729957580566,28800,-0.585154100186761,-1.8812806813551526
144,0.26969313621520996,29000,-0.5376152184839815,-1.8490945779659516
145,0.27201318740844727,29200,-0.5027351787766499,-1.7673235688491973
146,0.2751121520996094,29400,-0.5106564895894787,-1.792739019743843
147,0.27689599990844727,29600,-0.5945877949032856,-1.7610392246968345
148,0.2786390781402588,29800,-0.7326261087032141,-1.806356077513161
149,0.2803943157196045,30000,-0.5875743237131005,-1.845813391725572
150,0.28213024139404297,30200,-0.535527226108253,-1.9223669583675806
151,0.2838630676269531,30400,-0.625464681391072,-1.8345852868251382
152,0.28563499450683594,30600,-0.8454704922773589,-1.8741479189542118
153,0.28748321533203125,30800,-0.6514450430308032,-1.8862528958141715
154,0.28933024406433105,31000,-0.6424098835039804,-1.8205057008672094
155,0.29118824005126953,31200,-0.8846910742813067,-1.8451787877372234
156,0.29305124282836914,31400,-0.5960141035745999,-1.8659564673687625
157,0.29490208625793457,31600,-0.7150787032825668,-1.9277369031583393
158,0.29674816131591797,31800,-0.5655922611674494,-1.9371979451775543
159,0.29859018325805664,32000,-0.5792776400301988,-1.8979347880989657
160,0.30044007301330566,32200,-0.7440067912256226,-1.8799766943195606
161,0.3022911548614502,32400,-0.6250386883274044,-1.8804277129981242
162,0.30413818359375,32600,-0.5258287339283816,-1.8503972946386216
163,0.3059811592102051,32800,-0.5096887554468552,-1.8266454153807223
164,0.30782508850097656,33000,-0.4169867268390477,-1.8105157269383665
165,0.30966711044311523,33200,-0.6346737165850492,-1.8080843183229995
166,0.3115081787109375,33400,-0.5212344572029474,-1.805768899640097
167,0.3133580684661865,33600,-0.6687617467061124,-1.850157004481003
168,0.3152041435241699,33800,-0.781941040782797,-1.8675911036762387
169,0.31705331802368164,34000,-0.6144798110737848,-1.871063544268729
170,0.3189051151275635,34200,-0.6634376437496234,-1.8681759913732676
171,0.32074522972106934,34400,-0.667372576168779,-1.873048592505383
172,0.32259035110473633,34600,-0.6682861229611393,-1.839223133260698
173,0.32443904876708984,34800,-0.5409413705326346,-1.7867797654775819
174,0.326282262802124,35000,-0.6466515794070834,-1.850412062556857
175,0.3281261920928955,35200,-0.6988418020371725,-1.8955944599691998
176,0.329970121383667,35400,-0.8596241386324198,-1.9098930050778318
177,0.33182621002197266,35600,-0.4374062733460788,-1.991777988847732
178,0.3336760997772217,35800,-0.6312786238589443,-1.94433070967525
179,0.3355252742767334,36000,-0.6026653809295521,-1.9323723967058128
180,0.3373701572418213,36200,-0.6852226442619085,-1.826433496504722
181,0.3392140865325928,36400,-0.6444903978017031,-1.7260645785927307
182,0.34105801582336426,36600,-0.45896160638385886,-1.690423397045263
183,0.34290027618408203,36800,-0.5795748564230343,-1.715769256108635
184,0.3447442054748535,37000,-0.6181790929021787,-1.789606113197961
185,0.3465919494628906,37200,-0.6473946840274599,-1.8102475924703743
186,0.34844112396240234,37400,-0.6865229507189017,-1.8047028605065134
187,0.350283145904541,37600,-0.6382049717256734,-1.8128027991409343
188,0.35211896896362305,37800,-0.5810903448820947,-1.761147528984655
189,0.35396313667297363,38000,-0.4667077034306484,-1.7684079576784775
190,0.35580897331237793,38200,-0.5932273319126847,-1.7468558417467457
191,0.3576512336730957,38400,-0.6478457549752061,-1.78321960930268
192,0.35948801040649414,38600,-0.4528861925922298,-1.7644542474274119
193,0.3613321781158447,38800,-0.5681616752468079,-1.758669765434323
194,0.3631751537322998,39000,-0.44457328869125357,-1.752444522799558
195,0.36501622200012207,39200,-0.4835887548492644,-1.7432980007362804
196,0.36685895919799805,39400,-0.6717849888940135,-1.7582903989782508
197,0.3686981201171875,39600,-0.661860653213463,-1.7272980634508708
198,0.3705451488494873,39800,-0.666533111344754,-1.678841346794611
199,0.37238597869873047,40000,-0.7590592156107681,-1.769321492909288
